CourseCode,CourseID,AcademicYear,Semester,CourseName,Period,Building,Classroom
3114703,303749,111,1,實務專題(二),,,
3104011,303752,111,1,配電工程,"三：5, 6, 7",第三教學大樓,三教406(e)
3104092,303756,111,1,控制系統實習,"五：5, 6, 7",第二教學大樓,二教302(e)
3114703,303779,111,1,實務專題(二),,,
3104092,303786,111,1,控制系統實習,"四：7, 8, 9",第二教學大樓,二教304(e)
3114703,303809,111,1,實務專題(二),,,
3104092,303816,111,1,控制系統實習,"一：5, 6, 7",化學工程館,化工205
3314123,303941,111,1,材料光電磁性質,"一：5, 6　四：6",第三教學大樓,三教206(e)
3604052,304050,111,1,計算機網路,"一：7, 8, 9",第三教學大樓,三教109(e)
3604056,304052,111,1,人工智慧,"一：2, 3, 4",化學工程館,化工205
3604075,304057,111,1,無線通訊概論,"五：8, 9, A",第二教學大樓,二教303(e)
3604106,304071,111,1,半導體元件概論,"二：5, 6, 7",第二教學大樓,二教103(e)
3704056,304145,111,1,顧客關係管理與商業智慧,"一：2, 3, 4",億光大樓,億光0612
3844010,304179,111,1,創新講座-創意與創新思維(一),四：A,第一教學大樓,一教1F(e)
3902404,304189,111,1,施工規範與估價,"三：5, 6",億光大樓,億光0612
3904417,304191,111,1,不動產經營與管理,"三：7, 8",第三教學大樓,三教309(e)
4403033,304198,111,1,自動變速,"一：3, 4　三：2",第三教學大樓,三教203(e)
5704020,304249,111,1,策略管理,"三：2　五：3, 4",億光大樓,億光0612
5904202,304272,111,1,實務專題(三),,,
5904319,304278,111,1,嵌入式系統,"三：5, 6, 7",化學工程館,化工305
5904328,304284,111,1,資訊檢索與應用,"三：2, 3, 4",第三教學大樓,三教406(e)
6504002,304301,111,1,實務專題(二),,,
1003001,304400,111,1,體育,"二：1, 2",億光大樓,億光0612
3390044,304401,111,1,中文與台灣文化介紹,"一：7, 8",第二教學大樓,二教307(e)
5902304,304407,111,1,計算機演算法,"一：6　三：5, 6",第二教學大樓,二教307(e)
AB06028,304425,111,1,資訊與財金專題,,,
3004009,304462,111,1,製造學,"五：2, 3, 4",第三教學大樓,三教201(e)
3103064,304540,111,1,訊號與系統,"二：2　四：3, 4",第二教學大樓,二教307(e)
