,修課學年,修課學期,學號_id,姓名_id,學院名稱,系所名稱,班級名稱,授課班級碼,授課班級,課號,課程編碼,課程名稱,教師員編,授課教師,課程類別,必選修別,學分數,選課狀況
0,111,1,1.0,60.0,電資學院,光電工程系,光電四,2434,光電四,309210,6504109,光電系統設計,11897,鄭鈺潔,★,選,3.0,
1,111,1,1.0,60.0,電資學院,光電工程系,光電四,2545,建築三,304929,3903446,循環經濟之建築設計,24461,陳尚鋒,★,選,2.0,
2,111,1,1.0,60.0,電資學院,光電工程系,光電四,2551,光電三,309210,6504109,光電系統設計,11897,鄭鈺潔,★,選,3.0,
3,111,1,1.0,60.0,電資學院,光電工程系,光電四,2545,建築三,304924,3902015,建築環境控制系統(一),22914,陳星皓,▲,必,2.0,
4,111,1,2.0,1282.0,電資學院,電機工程系,電機四甲,2412,電機四甲,303749,3114703,實務專題(二),11980,林子喬,▲,必,2.0,
5,111,1,2.0,1282.0,電資學院,電機工程系,電機四甲,2412,電機四甲,303749,3114703,實務專題(二),10736,賴炎生,▲,必,2.0,
6,111,1,2.0,1282.0,電資學院,電機工程系,電機四甲,2396,國際觀培養(大),309737,AA01003,國際觀培養:韓文(一),24121,李美林,★,選,2.0,
7,111,1,2.0,1282.0,電資學院,電機工程系,電機四甲,2548,英文三,304982,5403512,韓文(三),24276,劉恩英,★,選,2.0,
8,111,1,2.0,1282.0,電資學院,電機工程系,電機四甲,2279,光大創創(研發處),310272,AAA0022,職涯能力培訓課程,10913,蘇昭瑾,★,選,1.0,
9,111,1,2.0,1282.0,電資學院,電機工程系,電機四甲,2761,博雅課程(五),309994,1418004,創業與財務概論,23815,黃麗珠,△,必,2.0,
10,111,1,2.0,1282.0,電資學院,電機工程系,電機四甲,2038,專業職場英文銜接計畫,309704,1400523,語文測驗(四),12177,劉慧雯,☆,選,2.0,
11,111,1,2.0,1282.0,電資學院,電機工程系,電機四甲,2412,電機四甲,303749,3114703,實務專題(二),10940,曾傳蘆,▲,必,2.0,
12,111,1,2.0,1282.0,電資學院,電機工程系,電機四甲,2412,電機四甲,303749,3114703,實務專題(二),11611,劉邦榮,▲,必,2.0,
13,111,1,2.0,1282.0,電資學院,電機工程系,電機四甲,2412,電機四甲,303749,3114703,實務專題(二),11008,王永鐘,▲,必,2.0,
14,111,1,3.0,91.0,電資學院,電機工程系,電機四乙,2540,電子三甲,304052,3604056,人工智慧,12084,賴冠廷,★,選,3.0,
15,111,1,3.0,91.0,電資學院,電機工程系,電機四乙,2412,電機四甲,303756,3104092,控制系統實習,11551,黃正民,★,選,1.0,
16,111,1,3.0,91.0,電資學院,電機工程系,電機四乙,2541,電子三乙,304052,3604056,人工智慧,24336,賴建宏,★,選,3.0,
17,111,1,3.0,91.0,電資學院,電機工程系,電機四乙,2413,電機四乙,303779,3114703,實務專題(二),10473,曾國雄,▲,必,2.0,
